Open,High,Low,Close,Adj Close,Volume
129.8000030517578,133.0399932861328,129.47000122070312,133.0,131.61875915527344,106686700
132.52000427246094,132.85000610351562,130.6300048828125,131.24000549316406,129.87701416015625,91420000
132.44000244140625,134.66000366210938,131.92999267578125,134.42999267578125,133.0338897705078,91266500
134.94000244140625,135.0,131.66000366210938,132.02999877929688,130.65882873535156,87222800
133.82000732421875,135.0,133.63999938964844,134.5,133.1031494140625,89347100
134.3000030517578,134.6699981689453,133.27999877929688,134.16000366210938,132.76670837402344,84922400
133.50999450683594,135.47000122070312,133.33999633789062,134.83999633789062,133.4396209716797,94264200
135.02000427246094,135.52999877929688,131.80999755859375,133.11000061035156,131.7276153564453,94812300
132.36000061035156,133.75,131.3000030517578,133.5,132.11355590820312,68847100
133.0399932861328,134.14999389648438,131.41000366210938,131.94000244140625,130.5697479248047,84566500
