Date, Open, High, Low, Close, Volume
2021-01-06,209.2664,211.2664,206.8498,207.9664,54254729.53
2021-01-07,227.9731,229.3298,224.2664,225.9731,55903618.25
2021-01-09,244.6931,247.3297,243.7564,244.6964,39613061.28
2021-01-10,259.4664,260.2597,254.5297,258.4064,51094283.24
2021-01-11,381.6663,403.2496,372.8863,402.8629,168146332.2
2021-01-12,386.8979,390.9463,363.5863,364.9996,68804162.69
2021-01-13,284.2531,286.823,277.333,284.803,99937592.13
2021-01-14,281.1297,287.6664,279.583,281.6664,93799081.74
2021-01-15,283.9997,286.6331,273.033,275.3864,116332927.2
2021-01-19,279.2663,283.333,277.6664,281.5163,76101016.3
2021-01-20,286.2464,286.4997,279.093,283.483,76997723.23
2021-01-21,284.9997,285.2397,280.4731,281.663,61794457.39
2021-01-22,278.103,282.6664,276.2064,282.213,60199562.73
2021-01-25,284.9997,300.1331,279.6064,293.5997,123520322.7
2021-01-26,297.1264,298.6331,290.533,294.363,69394872.31
2021-01-27,290.1164,297.1664,286.2197,288.053,82001968.45
2021-01-28,273.333,282.6664,266.9997,278.4764,79134229.46
2021-01-29,276.6664,280.803,260.0331,264.5097,104972371.4
2021-02-02,281.5597,293.4997,280.7333,290.9297,73038709.11
2021-02-03,239.4264,240.3697,228.3331,228.8131,71196554.19
2021-02-06,206.7098,207.7865,199.7131,201.7065,69908403.84
2021-02-07,226.3264,233.3331,224.4198,226.2998,81292191.71
2021-02-08,233.3331,242.3131,232.7998,236.5564,100847415.1
2021-02-09,244.8331,246.9897,243.5131,244.1297,38390260.0
2021-02-11,386.4513,402.8629,381.9996,390.6663,128213536.6
2021-02-12,366.353,370.9996,352.2163,361.533,73114927.19
2021-02-16,272.6664,273.6664,264.1464,265.4064,59407021.9
2021-02-17,259.6964,266.6131,254.0031,266.0498,78236775.52
2021-02-18,260.2997,264.8964,258.7564,262.4598,53871239.13
2021-02-19,264.9997,265.5964,259.1231,260.4331,56874839.26
2021-02-22,254.2131,256.1664,236.7331,238.1664,111809273.5
2021-02-23,220.7098,237.8697,206.3331,232.9465,199820857.2
2021-02-24,237.2831,248.3331,231.3898,247.3397,110300973.9
2021-02-25,242.0497,245.7353,223.5264,227.4064,117071699.0
2021-02-26,233.3331,235.5665,219.8364,225.1664,123267632.4
2021-03-02,292.3397,292.6931,284.3546,284.8964,55030587.34
2021-03-03,229.3298,233.5665,217.2348,217.7331,90623977.43
2021-03-05,234.5998,235.3331,226.8331,228.2998,81129501.54
2021-03-06,200.5998,201.5165,190.4065,190.9465,90335761.13
2021-03-08,239.6664,240.8831,233.6698,236.5798,64860817.58
2021-03-09,244.0827,244.6664,241.3997,244.5231,45813194.74
2021-03-11,392.4429,405.1296,384.2063,404.6196,103885668.2
2021-03-12,361.5963,363.5246,333.403,338.323,92322096.2
2021-03-15,231.3631,237.7264,228.0131,235.9798,88270537.98
2021-03-16,234.4498,235.9731,223.6664,225.6264,96587110.64
2021-03-17,218.9564,234.5764,217.0031,233.9365,121117473.2
2021-03-18,228.0964,229.7431,217.3331,217.7198,100107164.3
2021-03-19,215.5331,219.0764,208.2065,218.2898,128682074.1
2021-03-22,228.1965,233.2064,222.9164,223.3331,118536780.5
2021-03-23,225.2564,225.9331,219.1698,220.7198,91475702.32
2021-03-24,222.6364,222.6731,210.0364,210.0898,101385609.6
2021-03-25,204.3331,215.1664,203.1665,213.4631,117674666.6
2021-03-26,213.9564,214.6064,199.9631,206.2365,101558601.8
2021-03-29,205.2131,205.4931,198.6731,203.7631,85911053.52
2021-03-30,200.5831,212.5531,197.0031,211.8731,118297200.3
2021-03-31,215.5398,223.9998,213.7031,222.6431,100011971.2
2021-04-01,239.8198,248.163,239.0629,243.2564,145914737.0
2021-04-02,284.9997,285.4997,277.8064,283.3297,47438029.43
2021-04-03,218.5998,291.3131,199.9998,207.1465,197758775.1
2021-04-05,226.3131,227.8152,219.2334,224.5331,89218052.97
2021-04-06,193.2365,200.2031,192.3998,199.6831,72110769.14
2021-04-08,236.9998,241.6331,236.3098,236.9731,51008003.15
2021-04-10,265.4997,268.9897,258.7064,260.5097,91450109.29
